,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
CBTown_F_C6K5,NSW,SouthWestSydney,S_NSW,3453,924119,267.63,1955,891,460,139,8,924119.48,323944.52,93323.51,0.30,0.30,0.11,0.03
CBTown_F_C7K2,NSW,SouthWestSydney,S_NSW,4202,1150000,272.50,2274,1143,640,139,6,1145060.26,391106.63,101180.24,0.37,0.37,0.13,0.03
CBTown_M_C10K1,NSW,SouthWestSydney,S_NSW,3915,1080000,275.09,2128,1036,580,162,9,1076956.39,377838.05,94841.50,0.35,0.35,0.12,0.03
CBTown_M_C10K4,NSW,SouthWestSydney,S_NSW,3587,891048,248.41,2118,918,456,91,4,891048.34,260527.23,48087.00,0.29,0.29,0.08,0.02
CBTown_M_C11K1,NSW,SouthWestSydney,S_NSW,4171,1150000,275.12,2179,1198,644,143,7,1147529.64,385821.19,86215.16,0.37,0.37,0.13,0.03
CBTown_M_C12K3,NSW,SouthWestSydney,S_NSW,3691,993869,269.27,2040,985,518,141,7,993869.27,343936.83,88820.32,0.32,0.32,0.11,0.03
CBTown_M_C2K2,NSW,SouthWestSydney,S_NSW,3739,989168,264.55,2148,943,505,130,13,989168.41,341466.44,86408.82,0.32,0.32,0.11,0.03
CBTown_M_C3K1,NSW,SouthWestSydney,S_NSW,4242,1160000,273.90,2272,1183,616,164,7,1161902.77,394389.79,105126.47,0.38,0.38,0.13,0.03
CBTown_M_C3K3,NSW,SouthWestSydney,S_NSW,3908,1050000,269.57,2193,1021,532,152,10,1053485.75,366474.71,99931.58,0.34,0.34,0.12,0.03
CBTown_M_C5K8,NSW,SouthWestSydney,S_NSW,4006,1120000,278.60,2142,1116,568,169,11,1116083.41,410560.91,99025.42,0.36,0.36,0.13,0.03
CBTown_M_C6K1,NSW,SouthWestSydney,S_NSW,3586,875225,244.07,2161,918,423,79,5,875224.74,246046.30,57630.33,0.28,0.28,0.08,0.02
CBTown-F-C11K2,NSW,SouthWestSydney,S_NSW,4288,1230000,286.96,2229,1199,669,179,12,1230463.13,464102.80,122820.15,0.40,0.40,0.15,0.04
CBTown-M-C6K2,NSW,SouthWestSydney,S_NSW,3879,1080000,278.23,2117,1015,574,164,9,1079237.26,395176.08,112616.19,0.35,0.35,0.13,0.04
F_Alex_Monaro,NSW,SouthernTablelands,S_NSW,4157,960524,231.06,2730,919,397,105,6,960523.91,259045.97,67084.17,0.31,0.31,0.08,0.02
F_Annie_L_STHD,NSW,SouthernHighlands,S_NSW,3700,895586,242.05,2229,939,451,79,2,895586.19,255511.98,45264.88,0.29,0.29,0.08,0.01
F_Annie_Monaro,NSW,SouthernTablelands,S_NSW,3552,724862,204.07,2534,716,246,55,1,724861.86,140319.83,31608.69,0.24,0.24,0.05,0.01
F_Beyonce_STHD,NSW,SouthernHighlands,S_NSW,3506,805766,229.83,2261,799,377,67,2,805765.72,210055.72,37928.80,0.26,0.26,0.07,0.01
F_Bron_Monaro,NSW,SouthernTablelands,S_NSW,3313,616472,186.08,2538,589,150,33,3,616471.57,83009.14,22976.27,0.20,0.20,0.03,0.01
F_CS_Monaro,NSW,SouthernTablelands,S_NSW,3543,763220,215.42,2429,757,294,62,1,763219.90,159770.83,42619.65,0.25,0.25,0.05,0.01
F_Hapi_STHD,NSW,SouthernHighlands,S_NSW,3461,862348,249.16,2154,793,398,112,4,862347.59,276186.66,75559.59,0.28,0.28,0.09,0.02
F_Liv_NJ_STHD,NSW,SouthernHighlands,S_NSW,3543,889887,251.17,2052,956,438,94,3,889886.55,261563.27,53072.52,0.29,0.29,0.09,0.02
F_Madona_Monaro,NSW,SouthernTablelands,S_NSW,3400,701478,206.32,2446,657,234,59,4,701478.06,156924.43,41163.94,0.23,0.23,0.05,0.01
F_Mia_Monaro,NSW,SouthernTablelands,S_NSW,3788,868652,229.32,2512,829,345,96,6,868651.63,241648.43,53561.26,0.28,0.28,0.08,0.02
F_Sage_Monaro,NSW,SouthernTablelands,S_NSW,3508,680609,194.02,2580,694,188,45,1,680609.21,112439.78,22059.83,0.22,0.22,0.04,0.01
F_StevieN_STHD,NSW,SouthernHighlands,S_NSW,3986,938062,235.34,2473,1019,399,91,4,938061.99,242153.14,63526.81,0.31,0.31,0.08,0.02
F_Tahlia_Monaro,NSW,SouthernTablelands,S_NSW,3594,737911,205.32,2563,721,250,57,3,737911.02,146677.24,37402.85,0.24,0.24,0.05,0.01
F-Arya-STHD,NSW,SouthernHighlands,S_NSW,4436,1110000,250.17,2490,1267,582,94,3,1109756.57,302003.71,53304.08,0.36,0.36,0.10,0.02
F-Brandy-Monaro,NSW,SouthernTablelands,S_NSW,3792,707258,186.51,2795,795,189,13,0,707257.76,69731.28,5453.84,0.23,0.23,0.02,0.00
F-Brienne-STHD,NSW,SouthernHighlands,S_NSW,3818,1010000,265.47,2154,1002,513,141,8,1013545.75,346920.37,94482.40,0.33,0.33,0.11,0.03
F-Bunzi-STHD,NSW,SouthernHighlands,S_NSW,3554,868346,244.33,2181,861,408,100,4,868345.99,259186.73,65412.81,0.28,0.28,0.08,0.02
F-Daenery-STHD,NSW,SouthernHighlands,S_NSW,3954,975999,246.84,2276,1086,497,91,4,975999.33,248291.19,40464.94,0.32,0.32,0.08,0.01
F-Falia-F-STHD,NSW,SouthernHighlands,S_NSW,3415,814706,238.57,2150,795,369,99,2,814706.11,235256.65,68184.61,0.27,0.27,0.08,0.02
F-Yara-STHD,NSW,SouthernHighlands,S_NSW,4394,1180000,267.70,2359,1258,639,127,10,1176255.44,364193.75,91463.66,0.38,0.38,0.12,0.03
K2,NSW,SouthWestSydney,S_NSW,4324,1230000,284.94,2188,1246,722,156,12,1232089.73,432281.49,97069.95,0.40,0.40,0.14,0.03
M_Bear_Monaro,NSW,SouthernTablelands,S_NSW,3454,711464,205.98,2473,676,246,57,2,711464.05,145897.62,36300.51,0.23,0.23,0.05,0.01
M_Clegane_STHD,NSW,SouthernHighlands,S_NSW,4251,1050000,247.36,2432,1191,538,88,2,1051530.32,268006.51,48952.61,0.34,0.34,0.09,0.02
M_Drew_Monaro,NSW,SouthernTablelands,S_NSW,3376,675133,199.98,2512,596,210,55,3,675133.17,142472.83,30622.00,0.22,0.22,0.05,0.01
M_Evan_Monaro,NSW,SouthernTablelands,S_NSW,3595,767226,213.42,2478,768,268,80,1,767225.79,163978.84,37236.60,0.25,0.25,0.05,0.01
M_Hamish_Monaro,NSW,SouthernTablelands,S_NSW,3503,693455,197.96,2572,673,212,44,2,693455.24,121427.83,26308.84,0.23,0.23,0.04,0.01
M_Jett_Monaro,NSW,SouthernTablelands,S_NSW,3573,693990,194.23,2631,703,194,44,1,693989.58,109179.12,20961.88,0.23,0.23,0.04,0.01
M_Kenny_Monaro,NSW,SouthernTablelands,S_NSW,3482,729571,209.53,2465,696,247,71,3,729570.55,163548.69,38926.45,0.24,0.24,0.05,0.01
M_Malu_Monaro,NSW,SouthernTablelands,S_NSW,3538,726065,205.22,2512,733,229,61,3,726064.81,146721.41,37575.13,0.24,0.24,0.05,0.01
M_Tallow_Monaro,NSW,SouthernTablelands,S_NSW,3731,808040,216.58,2532,820,312,62,5,808039.85,175369.92,43805.37,0.26,0.26,0.06,0.01
M50543_001,NSW,WollemiNP,S_NSW,2986,700567,234.62,1902,705,306,69,4,700567.38,196167.82,44049.10,0.23,0.23,0.06,0.01
M-Chaac-STHD,NSW,SouthernHighlands,S_NSW,3429,838261,244.46,2102,840,392,90,5,838260.56,240293.68,55173.24,0.27,0.27,0.08,0.02
M-Gendry-STHD,NSW,SouthernHighlands,S_NSW,3580,830049,231.86,2263,875,368,72,2,829949.25,206213.53,38394.79,0.27,0.27,0.07,0.01
M-Jimmy-B-STHD,NSW,SouthernHighlands,S_NSW,3750,926662,247.11,2242,969,431,102,6,926662.45,274127.44,66438.65,0.30,0.30,0.09,0.02
M-Murray-Monaro,NSW,SouthernTablelands,S_NSW,3486,602972,172.97,2715,649,118,4,0,602871.91,33249.99,2219.76,0.20,0.20,0.01,0.00
M-Qyburn-STHD,NSW,SouthernHighlands,S_NSW,4107,1200000,292.11,2117,1121,661,193,15,1199693.18,471503.91,143336.38,0.39,0.39,0.15,0.05
M-Rhaegar-STHD,NSW,SouthernHighlands,S_NSW,4549,1290000,284.20,2305,1315,742,176,11,1292817.08,457194.99,112868.51,0.42,0.42,0.15,0.04
M-St-james-STHD,NSW,SouthernHighlands,S_NSW,3600,889219,247.01,2130,955,418,91,6,889218.93,259508.05,59169.09,0.29,0.29,0.08,0.02
M-Varys-STHD,NSW,SouthernHighlands,S_NSW,3457,795289,230.05,2174,847,372,62,2,795288.50,188553.17,35254.32,0.26,0.26,0.06,0.01
M-Walter-STHD,NSW,SouthernHighlands,S_NSW,3451,770806,223.36,2268,797,323,60,3,770806.03,182010.37,32735.55,0.25,0.25,0.06,0.01
M-Xavier-Monaro,NSW,SouthernTablelands,S_NSW,3911,736984,188.44,2827,875,195,14,0,736984.10,66461.64,4420.81,0.24,0.24,0.02,0.00
SWSyd_F_M48896,NSW,SouthWestSydney,S_NSW,3770,1010000,268.84,2079,1022,531,129,9,1013542.80,344498.82,74926.34,0.33,0.33,0.11,0.02
SWSyd-M-Biya,NSW,SouthWestSydney,S_NSW,4371,1330000,304.80,2155,1226,719,257,14,1332273.90,556359.42,163964.30,0.43,0.43,0.18,0.05
SWSyd-M-Dalang,NSW,SouthWestSydney,S_NSW,4185,1250000,297.98,2145,1133,666,225,16,1247048.59,499586.81,164022.03,0.41,0.41,0.16,0.05
SWSyd-M-Giloa,NSW,SouthWestSydney,S_NSW,434,62749,144.58,388,45,1,0,0,62748.65,0.00,0.00,0.02,0.02,0.00,0.00
SWSyd-M-Kimber,NSW,SouthWestSydney,S_NSW,3842,1090000,283.41,2020,1044,592,184,2,1088864.00,402917.67,103029.46,0.35,0.35,0.13,0.03
SWSyd-M-Mirribi,NSW,SouthWestSydney,S_NSW,4277,1270000,295.79,2099,1253,717,197,11,1265083.71,487574.06,135844.80,0.41,0.41,0.16,0.04
SWSyd-M-Yung,NSW,SouthWestSydney,S_NSW,848,127126,149.91,726,117,5,0,0,127125.97,0.00,0.00,0.04,0.04,0.00,0.00
Broad-F-50414,NSW,Broadwater,SEQLD_FNNSW,3575,1050000,293.04,1802,1072,557,178,11,1047625.70,399690.03,122315.57,0.34,0.34,0.13,0.04
Broad-M-50382,NSW,Broadwater,SEQLD_FNNSW,2422,658508,271.89,1352,641,317,102,10,658508.43,235928.86,74337.31,0.21,0.21,0.08,0.02
Broad-M-50439,NSW,Broadwater,SEQLD_FNNSW,2041,467764,229.18,1325,475,194,43,4,467764.17,119177.13,37191.12,0.15,0.15,0.04,0.01
Broad-M-50508,NSW,Broadwater,SEQLD_FNNSW,3567,1100000,307.80,1682,1073,598,194,20,1097922.70,458125.68,147140.99,0.36,0.36,0.15,0.05
Broadwater-F-M50514,NSW,Broadwater,SEQLD_FNNSW,1762,365576,207.48,1248,348,139,22,5,365575.63,76468.08,20667.29,0.12,0.12,0.02,0.01
Broadwater-M-M50338,NSW,Broadwater,SEQLD_FNNSW,2600,678250,260.87,1462,696,351,89,2,678250.39,210723.38,45972.97,0.22,0.22,0.07,0.01
Byron_F_M50503,NSW,ByronBay,SEQLD_FNNSW,2937,731393,249.03,1664,830,381,60,2,731392.62,200632.64,33768.90,0.24,0.24,0.07,0.01
Byron_M_M50452,NSW,ByronBay,SEQLD_FNNSW,2244,508877,226.77,1438,553,209,40,4,508877.10,124447.13,31278.35,0.17,0.17,0.04,0.01
Byron_U_M50504,NSW,ByronBay,SEQLD_FNNSW,2645,632174,239.01,1594,673,322,55,1,632173.94,165172.86,31529.88,0.21,0.21,0.05,0.01
Byron-F-50524,NSW,ByronBay,SEQLD_FNNSW,2061,442902,214.90,1372,471,190,28,0,442902.49,87428.09,12778.67,0.14,0.14,0.03,0.00
Byron-F-M50431,NSW,ByronBay,SEQLD_FNNSW,2134,472767,221.54,1427,463,205,38,1,472767.01,112773.08,22721.26,0.15,0.15,0.04,0.01
Byron-M-M50430,NSW,ByronBay,SEQLD_FNNSW,2425,616506,254.23,1452,601,285,81,6,616506.38,198924.78,64309.31,0.20,0.20,0.06,0.02
Byron-M-M50435,NSW,ByronBay,SEQLD_FNNSW,3410,1020000,298.32,1674,993,563,168,12,1017280.00,394012.50,130069.48,0.33,0.33,0.13,0.04
Coffs-F-44980,NSW,CoffsHarbour,SEQLD_FNNSW,2063,412130,199.77,1514,374,147,26,2,412129.51,81555.80,21124.19,0.13,0.13,0.03,0.01
GCoast-F-54909,QLD,GoldCoast,SEQLD_FNNSW,2028,422873,208.52,1421,404,181,20,2,422872.81,91198.47,13692.43,0.14,0.14,0.03,0.00
GCoast-F-73511,QLD,GoldCoast,SEQLD_FNNSW,3596,1010000,279.70,1840,1058,547,140,11,1005782.25,350816.22,82369.37,0.33,0.33,0.11,0.03
GCoast-M-54910,QLD,GoldCoast,SEQLD_FNNSW,2228,495665,222.47,1438,539,218,32,1,495665.40,109603.60,26197.81,0.16,0.16,0.04,0.01
GCoast-M-54980,QLD,GoldCoast,SEQLD_FNNSW,1912,407842,213.31,1302,421,160,29,0,407841.76,88799.12,18452.94,0.13,0.13,0.03,0.01
GCoast-M-56090,QLD,GoldCoast,SEQLD_FNNSW,2566,593046,231.12,1565,679,281,38,2,593045.89,137403.60,24609.49,0.19,0.19,0.04,0.01
GCoast-M-61808,QLD,GoldCoast,SEQLD_FNNSW,919,134624,146.49,803,108,8,0,0,134623.67,1586.34,0.00,0.04,0.04,0.00,0.00
GCoast-M-62309,QLD,GoldCoast,SEQLD_FNNSW,2305,538781,233.74,1449,546,255,53,2,538780.61,140673.38,29529.87,0.18,0.18,0.05,0.01
GCoast-M-66922,QLD,GoldCoast,SEQLD_FNNSW,2310,508057,219.94,1466,604,200,40,0,508056.78,106450.95,17063.50,0.17,0.17,0.03,0.01
GCoast-M-70414,QLD,GoldCoast,SEQLD_FNNSW,2354,547882,232.75,1447,610,243,51,3,547881.75,138312.48,30696.94,0.18,0.18,0.05,0.01
GCoast-M-71441,QLD,GoldCoast,SEQLD_FNNSW,2597,554396,213.48,1620,739,220,18,0,554395.93,77624.63,4546.00,0.18,0.18,0.03,0.00
GCoast-M-78719,QLD,GoldCoast,SEQLD_FNNSW,1980,422015,213.14,1318,466,171,25,0,422015.38,80300.75,9185.61,0.14,0.14,0.03,0.00
GCoast-M-84814,QLD,GoldCoast,SEQLD_FNNSW,2430,633761,260.81,1387,654,298,83,8,633760.64,206148.72,53308.71,0.21,0.21,0.07,0.02
Graft_M_M50499,NSW,SouthernClarence,SEQLD_FNNSW,1907,406930,213.39,1317,414,134,40,2,406930.05,92819.93,19648.47,0.13,0.13,0.03,0.01
Gundagai-M-M49249,NSW,Gundagai,SEQLD_FNNSW,3540,1100000,310.90,1654,1059,626,183,18,1100567.20,458895.53,152431.61,0.36,0.36,0.15,0.05
Kyogle_F_M50519,NSW,WestKyogle,SEQLD_FNNSW,1563,279836,179.04,1196,280,81,6,0,279836.20,28829.16,2320.52,0.09,0.09,0.01,0.00
Kyogle_M_M50481,NSW,WestKyogle,SEQLD_FNNSW,3031,785363,259.11,1682,864,399,77,9,785363.47,232633.88,58681.86,0.26,0.26,0.08,0.02
Kyogle-F-50350,NSW,WestKyogle,SEQLD_FNNSW,1687,348256,206.44,1204,329,123,29,2,348255.60,79068.68,19982.51,0.11,0.11,0.03,0.01
Kyogle-F-50356,NSW,WestKyogle,SEQLD_FNNSW,1916,441978,230.68,1264,406,193,50,3,441977.88,126889.92,31198.28,0.14,0.14,0.04,0.01
Kyogle-F-50418,NSW,WestKyogle,SEQLD_FNNSW,1848,396262,214.43,1279,378,159,32,0,396261.96,93721.73,15531.21,0.13,0.13,0.03,0.01
Kyogle-F-50433,NSW,WestKyogle,SEQLD_FNNSW,1650,335056,203.06,1190,315,120,23,2,335056.15,70107.83,19440.04,0.11,0.11,0.02,0.01
Kyogle-F-50434,NSW,WestKyogle,SEQLD_FNNSW,2304,545906,236.94,1438,553,259,51,3,545806.49,144922.35,34584.46,0.18,0.18,0.05,0.01
Kyogle-F-50438,NSW,WestKyogle,SEQLD_FNNSW,1745,373759,214.19,1230,335,144,36,0,373759.10,90883.97,22266.90,0.12,0.12,0.03,0.01
Kyogle-F-M50471,NSW,WestKyogle,SEQLD_FNNSW,1906,413662,217.03,1280,423,170,31,2,413661.59,90955.07,21225.61,0.13,0.13,0.03,0.01
Kyogle-M-50316,NSW,WestKyogle,SEQLD_FNNSW,1633,313416,191.93,1230,292,83,27,1,313415.88,55575.60,18945.74,0.10,0.10,0.02,0.01
Kyogle-M-50360,NSW,WestKyogle,SEQLD_FNNSW,2181,533395,244.56,1331,543,245,54,8,533394.77,152315.65,45359.46,0.17,0.17,0.05,0.01
Kyogle-M-50384,NSW,WestKyogle,SEQLD_FNNSW,2281,562742,246.71,1415,537,247,77,5,562741.63,181632.87,46170.95,0.18,0.18,0.06,0.02
Kyogle-M-50420,NSW,WestKyogle,SEQLD_FNNSW,3708,1150000,309.59,1768,1086,624,215,15,1147957.25,476894.85,162925.63,0.37,0.37,0.16,0.05
Kyogle-M-50927,NSW,WestKyogle,SEQLD_FNNSW,2256,552789,245.03,1391,542,244,76,3,552788.80,164654.52,47638.75,0.18,0.18,0.05,0.02
Kyogle-M-M50448,NSW,WestKyogle,SEQLD_FNNSW,1608,311657,193.82,1189,290,113,15,1,311657.07,52756.76,8020.26,0.10,0.10,0.02,0.00
Kyogle-U-M49289,NSW,WestKyogle,SEQLD_FNNSW,1869,399554,213.78,1288,394,158,29,0,399554.02,95387.98,18391.59,0.13,0.13,0.03,0.01
Kyogle-U-M50488,NSW,WestKyogle,SEQLD_FNNSW,1667,330736,198.40,1185,343,119,20,0,330735.79,54895.82,10448.16,0.11,0.11,0.02,0.00
Lismo-F-2110271,NSW,NorthernRivers,SEQLD_FNNSW,2582,672324,260.39,1510,649,326,90,7,672323.95,233042.53,62785.72,0.22,0.22,0.08,0.02
Lismo-F-2111152,NSW,NorthernRivers,SEQLD_FNNSW,3125,886368,283.64,1608,903,469,139,6,886367.68,329074.00,79472.94,0.29,0.29,0.11,0.03
Lismo-F-2111222,NSW,NorthernRivers,SEQLD_FNNSW,1860,402464,216.38,1293,381,150,32,4,402464.33,94846.97,27207.93,0.13,0.13,0.03,0.01
Lismo-F-2111232,NSW,NorthernRivers,SEQLD_FNNSW,4039,1200000,296.93,1933,1218,690,190,8,1199308.80,465423.53,122418.50,0.39,0.39,0.15,0.04
Lismo-F-2112201,NSW,NorthernRivers,SEQLD_FNNSW,3040,845661,278.18,1603,845,472,112,8,845660.50,300904.28,70819.35,0.28,0.28,0.10,0.02
Lismo-F-2112212,NSW,NorthernRivers,SEQLD_FNNSW,2206,497854,225.68,1419,529,230,26,2,497853.64,112986.99,18615.19,0.16,0.16,0.04,0.01
Lismo-F-2112273,NSW,NorthernRivers,SEQLD_FNNSW,3657,1110000,303.45,1741,1092,633,182,9,1109701.45,451715.62,127397.55,0.36,0.36,0.15,0.04
Lismo-M-2111192,NSW,NorthernRivers,SEQLD_FNNSW,3228,870823,269.77,1692,948,477,108,3,870823.47,276472.68,52945.52,0.28,0.28,0.09,0.02
Lismo-M-2111271,NSW,NorthernRivers,SEQLD_FNNSW,2421,531315,219.46,1571,592,217,40,1,531315.30,107988.54,20937.08,0.17,0.17,0.04,0.01
Lismo-M-2112021,NSW,NorthernRivers,SEQLD_FNNSW,2126,517141,243.25,1339,491,224,66,6,517140.66,152979.74,46879.75,0.17,0.17,0.05,0.02
Lismore-F-M50298,NSW,NorthernRivers,SEQLD_FNNSW,2496,595801,238.70,1511,645,287,52,1,595801.38,158041.10,26656.51,0.19,0.19,0.05,0.01
Lismore-F-M50309,NSW,NorthernRivers,SEQLD_FNNSW,2329,529970,227.55,1456,617,204,48,4,529969.57,121452.65,30485.99,0.17,0.17,0.04,0.01
Lismore-F-M50310,NSW,NorthernRivers,SEQLD_FNNSW,2151,458085,212.96,1442,495,180,34,0,457985.05,93686.54,20101.32,0.15,0.15,0.03,0.01
Lismore-F-M50336,NSW,NorthernRivers,SEQLD_FNNSW,3083,836731,271.40,1679,835,450,111,8,836731.13,284631.02,71453.97,0.27,0.27,0.09,0.02
Lismore-F-M50340,NSW,NorthernRivers,SEQLD_FNNSW,2483,568789,229.07,1587,597,246,49,4,568789.28,138126.15,36246.11,0.19,0.19,0.04,0.01
Lismore-F-M50369,NSW,NorthernRivers,SEQLD_FNNSW,2139,508385,237.67,1372,490,213,59,5,508385.38,146913.42,37907.75,0.17,0.17,0.05,0.01
Lismore-F-M50510,NSW,NorthernRivers,SEQLD_FNNSW,3056,804453,263.24,1660,873,434,85,4,804452.61,253654.69,55738.36,0.26,0.26,0.08,0.02
Lismore-F-M50535,NSW,NorthernRivers,SEQLD_FNNSW,3768,1060000,281.79,1891,1142,582,147,6,1061768.47,370581.92,91566.25,0.35,0.35,0.12,0.03
Lismore-M-M50352,NSW,NorthernRivers,SEQLD_FNNSW,3094,835656,270.09,1659,872,459,96,8,835656.21,277765.82,65768.36,0.27,0.27,0.09,0.02
Lismore-M-M50397,NSW,NorthernRivers,SEQLD_FNNSW,3223,919028,285.15,1674,902,501,133,13,919028.37,341352.22,104493.39,0.30,0.30,0.11,0.03
Lismore-U-M50295,NSW,NorthernRivers,SEQLD_FNNSW,2728,693203,254.11,1569,743,327,85,4,693202.81,210192.79,49232.96,0.23,0.23,0.07,0.02
M47687_001,NSW,Inverell,SEQLD_FNNSW,2935,754228,256.98,1606,833,434,59,3,754228.48,220842.54,35381.00,0.25,0.25,0.07,0.01
M49026_001,NSW,Broadwater,SEQLD_FNNSW,2415,562974,233.12,1549,547,266,52,1,562974.18,152457.85,25836.33,0.18,0.18,0.05,0.01
M50294_001,NSW,SouthernClarence,SEQLD_FNNSW,2412,542227,224.80,1520,615,237,37,3,542226.78,114393.60,23293.17,0.18,0.18,0.04,0.01
M50306_001,NSW,ByronBay,SEQLD_FNNSW,2436,528737,217.05,1594,586,227,28,1,528737.28,100284.13,14448.04,0.17,0.17,0.03,0.00
M50344_001,NSW,SouthernClarence,SEQLD_FNNSW,1862,363468,195.20,1332,390,124,15,1,363467.99,57391.53,1840.50,0.12,0.12,0.02,0.00
M50355_001,NSW,WestKyogle,SEQLD_FNNSW,2112,496667,235.16,1329,502,232,48,1,496666.88,131342.28,27726.60,0.16,0.16,0.04,0.01
M50359_001,NSW,SouthernClarence,SEQLD_FNNSW,1781,348438,195.64,1290,346,125,20,0,348438.20,56291.99,7071.09,0.11,0.11,0.02,0.00
M50370_001,NSW,ByronBay,SEQLD_FNNSW,3229,797016,246.83,1876,883,389,81,0,797015.71,213782.55,38801.59,0.26,0.26,0.07,0.01
M50373_001,NSW,ByronBay,SEQLD_FNNSW,2220,474730,213.84,1480,520,185,35,0,474730.17,95499.10,11723.11,0.15,0.15,0.03,0.00
M50374_001,NSW,WestKyogle,SEQLD_FNNSW,2630,587136,223.25,1640,698,264,28,0,587136.25,122454.24,12900.83,0.19,0.19,0.04,0.00
M50383_001,NSW,Broadwater,SEQLD_FNNSW,2632,459274,174.50,1986,563,80,3,0,459273.98,21540.45,1013.15,0.15,0.15,0.01,0.00
M50392_001,NSW,ByronBay,SEQLD_FNNSW,3114,550116,176.66,2335,664,110,4,0,550116.20,31539.03,0.00,0.18,0.18,0.01,0.00
M50393_001,NSW,ByronBay,SEQLD_FNNSW,3831,997515,260.38,2053,1146,536,94,2,997515.22,289481.48,48467.61,0.32,0.32,0.09,0.02
M50395_001,NSW,Broadwater,SEQLD_FNNSW,2889,740250,256.23,1649,777,371,88,4,740249.83,229089.03,50688.51,0.24,0.24,0.07,0.02
Narrandra-F-N1,NSW,Narrandera,SEQLD_FNNSW,2788,813681,291.85,1461,732,444,142,9,813681.50,329749.54,94127.13,0.26,0.26,0.11,0.03
Narrandra-F-N12,NSW,Narrandera,SEQLD_FNNSW,3532,944892,267.52,1739,1173,541,78,1,944892.31,255607.92,35001.29,0.31,0.31,0.08,0.01
Narrandra-F-N13,NSW,Narrandera,SEQLD_FNNSW,2749,727513,264.65,1556,712,380,94,7,727512.64,248546.93,67248.93,0.24,0.24,0.08,0.02
Narrandra-F-N14,NSW,Narrandera,SEQLD_FNNSW,2373,559738,235.88,1440,641,235,55,2,559737.81,138463.75,36282.06,0.18,0.18,0.05,0.01
Narrandra-F-N17,NSW,Narrandera,SEQLD_FNNSW,2758,773445,280.44,1464,759,408,123,4,773445.32,284492.43,79095.00,0.25,0.25,0.09,0.03
Narrandra-F-N2,NSW,Narrandera,SEQLD_FNNSW,2274,607652,267.22,1315,556,298,101,4,607651.75,224131.54,59551.84,0.20,0.20,0.07,0.02
Narrandra-M-N11,NSW,Narrandera,SEQLD_FNNSW,2976,745380,250.46,1712,810,380,72,2,745379.80,214248.44,40418.93,0.24,0.24,0.07,0.01
Narrandra-M-N16,NSW,Narrandera,SEQLD_FNNSW,2925,816091,279.01,1613,734,441,131,6,816090.76,312780.76,76131.02,0.27,0.27,0.10,0.02
Narrandra-M-N3,NSW,Narrandera,SEQLD_FNNSW,2435,694095,285.05,1323,623,361,120,8,694094.92,277450.09,83285.55,0.23,0.23,0.09,0.03
Narrandra-M-N6,NSW,Narrandera,SEQLD_FNNSW,3796,907174,238.98,2215,1098,412,68,3,907174.30,210240.50,39094.23,0.30,0.30,0.07,0.01
Narrandra-M-N7,NSW,Narrandera,SEQLD_FNNSW,2538,646398,254.69,1483,646,321,84,4,646398.24,208523.85,38688.66,0.21,0.21,0.07,0.01
Narrandra-M-N8,NSW,Narrandera,SEQLD_FNNSW,2746,705255,256.83,1569,729,359,85,4,705255.29,212677.63,50675.41,0.23,0.23,0.07,0.02
Narrandra-M-N9,NSW,Narrandera,SEQLD_FNNSW,2314,625964,270.51,1281,607,335,85,6,625964.42,216370.52,64390.56,0.20,0.20,0.07,0.02
NRiv-F-M50347,NSW,Broadwater,SEQLD_FNNSW,3043,830483,272.92,1620,861,434,128,0,830483.45,286309.94,69569.46,0.27,0.27,0.09,0.02
NRiv-F-M50350,NSW,WestKyogle,SEQLD_FNNSW,658,99783,151.65,556,97,5,0,0,99782.48,1038.67,0.00,0.03,0.03,0.00,0.00
NRiv-F-M50379,NSW,NorthernRivers,SEQLD_FNNSW,1937,406206,209.71,1325,425,161,25,1,406206.09,80109.55,9735.61,0.13,0.13,0.03,0.00
NRiv-F-M50411,NSW,NorthernRivers,SEQLD_FNNSW,2783,713224,256.28,1564,791,343,80,5,713224.45,211652.74,55527.29,0.23,0.23,0.07,0.02
NRiv-F-M50451,NSW,NorthernRivers,SEQLD_FNNSW,2003,400436,199.92,1421,419,143,19,1,400436.16,64506.66,8149.04,0.13,0.13,0.02,0.00
NRiv-F-M50467,NSW,NorthernRivers,SEQLD_FNNSW,2987,804446,269.32,1629,838,407,106,7,804446.16,275874.17,69310.96,0.26,0.26,0.09,0.02
NRiv-F-M50517,NSW,NorthernRivers,SEQLD_FNNSW,3873,1170000,302.06,1847,1179,636,192,19,1169883.88,460452.88,137729.94,0.38,0.38,0.15,0.04
NRiv-F-M50531,NSW,ByronBay,SEQLD_FNNSW,2234,493501,220.91,1451,543,199,41,0,493501.44,108757.90,19400.56,0.16,0.16,0.04,0.01
NRiv-M-M50329,NSW,Broadwater,SEQLD_FNNSW,3068,854956,278.67,1649,817,478,116,8,854955.94,315299.20,86258.38,0.28,0.28,0.10,0.03
