,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
M-DECC076-GUH,NSW,LiverpoolPlains,M_NSW,3814,781570,204.92,2472,1066,260,16,0,781570.38,92726.62,7171.69,0.25,0.25,0.03,0.00
M-Galloping-PTS,NSW,PortStephens,M_NSW,4363,937598,214.90,2725,1246,363,29,0,937597.95,131355.64,7703.90,0.31,0.31,0.04,0.00
M-Howie-PTS,NSW,PortStephens,M_NSW,3632,741750,204.23,2370,994,245,23,0,741649.80,83268.11,6381.67,0.24,0.24,0.03,0.00
M-Solstice-PTS,NSW,PortStephens,M_NSW,3243,662401,204.26,2133,867,222,20,1,662401.19,77834.25,7674.12,0.22,0.22,0.03,0.00
M-Tai-PTS,NSW,PortStephens,M_NSW,4151,867195,208.91,2679,1126,319,27,0,867195.25,116280.59,7434.76,0.28,0.28,0.04,0.00
M-USYD014-GUH,NSW,LiverpoolPlains,M_NSW,3745,774901,206.92,2438,1011,272,24,0,774901.12,97728.47,6087.78,0.25,0.25,0.03,0.00
M-USYD040-GUH,NSW,LiverpoolPlains,M_NSW,3810,799694,209.89,2445,1054,292,19,0,799693.62,105518.18,3485.61,0.26,0.26,0.03,0.00
M-USYD098M-GUH,NSW,LiverpoolPlains,M_NSW,3993,824175,206.41,2573,1132,272,16,0,824174.71,88115.50,2224.31,0.27,0.27,0.03,0.00
Pillig-F-M47418,NSW,Pilliga,M_NSW,369,52247,141.59,339,27,2,1,0,52246.70,1917.05,1380.37,0.02,0.02,0.00,0.00
Pillig-M-M47035,NSW,Pilliga,M_NSW,389,56959,146.42,349,36,3,1,0,56958.97,2401.46,1361.13,0.02,0.02,0.00,0.00
Pillig-M-M47420,NSW,Pilliga,M_NSW,2419,650215,268.80,1442,546,309,117,5,650214.62,241043.35,85402.20,0.21,0.21,0.08,0.03
PMac-F-81925,NSW,PortMacquarie,M_NSW,2673,635455,237.73,1713,610,266,79,5,635455.44,182723.21,58413.36,0.21,0.21,0.06,0.02
PMac-F-81926,NSW,PortMacquarie,M_NSW,2358,519492,220.31,1592,498,227,38,3,519491.67,126562.32,20561.25,0.17,0.17,0.04,0.01
PMac-F-81927,NSW,PortMacquarie,M_NSW,2425,550905,227.18,1562,569,251,40,3,550904.65,129708.10,29841.15,0.18,0.18,0.04,0.01
PMac-F-81996,NSW,PortMacquarie,M_NSW,2205,480112,217.74,1498,471,190,43,3,480111.92,114606.01,27869.51,0.16,0.16,0.04,0.01
PMac-M-81900,NSW,PortMacquarie,M_NSW,2752,668546,242.93,1682,676,319,69,6,668545.96,190501.88,47709.94,0.22,0.22,0.06,0.02
PMac-M-81913,NSW,PortMacquarie,M_NSW,2515,567303,225.57,1676,528,246,64,1,567203.44,150641.56,30682.20,0.18,0.18,0.05,0.01
PMac-M-81967,NSW,PortMacquarie,M_NSW,2257,504648,223.59,1546,459,192,53,7,504647.65,129261.29,40554.43,0.16,0.16,0.04,0.01
PortMac-F-50048,NSW,PortMacquarie,M_NSW,2408,555518,230.70,1609,496,236,63,4,555517.72,156883.71,52031.00,0.18,0.18,0.05,0.02
PortMac-M-50047,NSW,PortMacquarie,M_NSW,2522,595804,236.24,1600,571,287,61,3,595803.82,170984.91,29569.49,0.19,0.19,0.06,0.01
Port-Macquarie-F-Emma,NSW,PortMacquarie,M_NSW,2306,543608,235.74,1502,517,222,59,6,543607.62,159471.34,54112.68,0.18,0.18,0.05,0.02
Port-Macquarie-F-M50239,NSW,PortMacquarie,M_NSW,2182,478269,219.19,1494,457,184,43,4,478269.33,119166.44,29918.76,0.16,0.16,0.04,0.01
Port-Macquarie-M-Callum,NSW,PortMacquarie,M_NSW,2394,536756,224.21,1593,530,220,50,1,536756.31,136985.48,34160.98,0.17,0.17,0.04,0.01
Port-Macquarie-M-M50237,NSW,PortMacquarie,M_NSW,2155,469957,218.08,1508,418,178,49,2,469957.01,126300.94,29117.82,0.15,0.15,0.04,0.01
Armid-M-M7070,NSW,Armidale,N_QLD,2352,587763,249.90,1442,557,267,80,6,587762.93,192913.96,54294.21,0.19,0.19,0.06,0.02
Atherton-M,QLD,Atherton,N_QLD,2115,440657,208.35,1468,464,142,40,1,440656.93,92844.72,24277.75,0.14,0.14,0.03,0.01
F_Bubbles_MBR,QLD,MoretonBay,N_QLD,1972,461221,233.89,1282,432,200,55,3,461220.71,132687.20,30747.09,0.15,0.15,0.04,0.01
F_Coco_MBR,QLD,MoretonBay,N_QLD,2215,537692,242.75,1380,517,251,63,4,537692.36,165548.80,42256.85,0.18,0.18,0.05,0.01
F_Jadore_MBR,QLD,MoretonBay,N_QLD,1950,427362,219.16,1315,424,174,34,3,427362.18,101327.76,26302.68,0.14,0.14,0.03,0.01
F_Josie_MBR,QLD,MoretonBay,N_QLD,3553,1090000,306.48,1675,1052,637,178,11,1088909.97,448707.50,119395.80,0.35,0.35,0.15,0.04
F_Julia_MBR,QLD,MoretonBay,N_QLD,3051,944991,309.73,1477,857,541,161,15,944991.31,403497.33,121111.26,0.31,0.31,0.13,0.04
F_Lana_MBR,QLD,MoretonBay,N_QLD,2167,495328,228.58,1381,521,221,44,0,495327.79,119621.33,25455.17,0.16,0.16,0.04,0.01
F_Millie_MBR,QLD,MoretonBay,N_QLD,2286,553935,242.32,1387,578,256,62,3,553934.80,152024.54,31606.08,0.18,0.18,0.05,0.01
